"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 20:43:23 MSK 2023","Tue Apr 11 20:43:28 MSK 2023","5471","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithInvalidDebitCard","shouldNotSuccessWithInvalidDebitCard()",""
"passed","Tue Apr 11 20:43:02 MSK 2023","Tue Apr 11 20:43:08 MSK 2023","5357","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithoutName","shouldNotSuccessWithoutName()",""
"passed","Tue Apr 11 20:43:15 MSK 2023","Tue Apr 11 20:43:17 MSK 2023","1861","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongCVC","shouldNotSuccessWithWrongCVC()",""
"passed","Tue Apr 11 20:43:14 MSK 2023","Tue Apr 11 20:43:15 MSK 2023","1744","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithShortestCardNumber","shouldNotSuccessWithShortestCardNumber()",""
"passed","Tue Apr 11 20:43:32 MSK 2023","Tue Apr 11 20:43:34 MSK 2023","1834","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongYearFromOneNumber","shouldNotSuccessWithWrongYearFromOneNumber()",""
"passed","Tue Apr 11 20:43:36 MSK 2023","Tue Apr 11 20:43:38 MSK 2023","2186","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongYear","shouldNotSuccessWithWrongYear()",""
"passed","Tue Apr 11 20:43:30 MSK 2023","Tue Apr 11 20:43:32 MSK 2023","1801","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongMonth","shouldNotSuccessWithWrongMonth()",""
"passed","Tue Apr 11 20:43:34 MSK 2023","Tue Apr 11 20:43:35 MSK 2023","1989","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongName","shouldNotSuccessWithWrongName()",""
"failed","Tue Apr 11 20:43:08 MSK 2023","Tue Apr 11 20:43:14 MSK 2023","5794","","test.TravelTest","","test.TravelTest","shouldSuccessWithValidCreditCard","shouldSuccessWithValidCreditCard()",""
"passed","Tue Apr 11 20:43:28 MSK 2023","Tue Apr 11 20:43:30 MSK 2023","1805","","test.TravelTest","","test.TravelTest","shouldNotSuccessWithWrongCardNumber","shouldNotSuccessWithWrongCardNumber()",""
"failed","Tue Apr 11 20:43:17 MSK 2023","Tue Apr 11 20:43:23 MSK 2023","5427","","test.TravelTest","","test.TravelTest","shouldSuccessWithValidDebitCard","shouldSuccessWithValidDebitCard()",""
